Timestamp,Tank Level,Pump Status
0,50.16,1
1,50.37,1
2,50.8,1
3,50.98,1
4,51.47,1
5,51.66,1
6,52.11,1
7,52.47,1
8,52.66,1
9,53.12,1
10,53.27,1
11,53.52,1
12,53.72,1
13,53.84,1
14,54.31,1
15,54.48,1
16,54.73,1
17,55.1,1
18,55.41,1
19,55.86,1
20,56.23,1
21,56.38,1
22,56.7,1
23,57.19,1
24,57.64,1
25,58.05,1
26,58.25,1
27,58.56,1
28,58.8,1
29,58.96,1
30,59.44,1
31,59.88,1
32,60.19,1
33,60.69,1
34,61.17,1
35,61.31,1
36,61.59,1
37,61.77,1
38,62.0,1
39,62.4,1
40,62.89,1
41,63.02,1
42,63.27,1
43,63.75,1
44,64.03,1
45,64.15,1
46,64.63,1
47,64.75,1
48,64.94,1
49,65.21,1
50,65.69,1
51,66.18,1
52,66.49,1
53,66.7,1
54,67.1,1
55,67.27,1
56,67.77,1
57,68.16,1
58,68.34,1
59,68.82,1
60,69.07,1
61,69.39,1
62,69.73,1
63,70.06,1
64,70.19,1
65,70.45,1
66,70.69,1
67,70.84,1
68,71.09,1
69,71.24,1
70,71.57,1
71,71.94,1
72,72.28,1
73,72.65,1
74,73.13,1
75,73.47,1
76,73.76,1
77,74.24,1
78,74.7,1
79,75.07,1
80,75.35,1
81,75.76,1
82,76.18,1
83,76.67,1
84,76.96,1
85,77.15,1
86,77.57,1
87,77.71,1
88,77.83,1
89,78.18,1
90,78.3,1
91,78.68,1
92,79.16,1
93,79.58,1
94,79.98,1
95,80.15,1
96,80.44,1
97,80.58,1
98,80.77,1
99,81.2,1
100,81.39,1
101,81.85,1
102,82.26,1
103,82.6,1
104,83.03,1
105,83.39,1
106,83.8,1
107,84.0,1
108,84.11,1
109,84.27,1
110,84.57,1
111,84.9,1
112,85.29,1
113,85.76,1
114,86.1,1
115,86.44,1
116,86.68,1
117,86.83,1
118,87.12,1
119,87.39,1
120,87.74,1
121,87.94,1
122,88.32,1
123,88.51,1
124,88.64,1
125,89.09,1
126,89.27,1
127,89.4,1
128,89.87,1
129,90.17,1
130,90.34,1
131,90.56,1
132,90.88,1
133,91.16,1
134,91.46,1
135,91.59,1
136,91.91,1
137,92.26,1
138,92.48,1
139,92.63,1
140,92.76,1
141,93.05,1
142,93.4,1
143,93.51,1
144,93.94,1
145,94.39,1
146,94.52,1
147,94.97,1
148,95.3,1
149,95.77,1
150,95.92,1
151,96.26,1
152,96.41,1
153,96.58,1
154,96.76,1
155,97.26,1
156,97.6,1
157,97.73,1
158,97.97,1
159,98.25,1
160,98.52,1
161,98.76,1
162,98.87,1
163,99.28,1
164,99.7,1
165,100,1
166,99.63,0
167,99.28,0
168,99.1,0
169,98.93,0
170,98.47,0
171,98.01,0
172,97.76,0
173,97.41,0
174,97.23,0
175,97.08,0
176,96.96,0
177,96.8,0
178,96.63,0
179,96.29,0
180,95.83,0
181,95.49,0
182,95.3,0
183,94.91,0
184,94.61,0
185,94.36,0
186,93.91,0
187,93.61,0
188,93.13,0
189,92.7,0
190,92.38,0
191,92.07,0
192,91.96,0
193,91.82,0
194,91.59,0
195,91.17,0
196,90.84,0
197,90.62,0
198,90.16,0
199,89.75,0
200,89.29,0
201,89.12,0
202,88.76,0
203,88.57,0
204,88.37,0
205,88.01,0
206,87.58,0
207,87.21,0
208,86.72,0
209,86.48,0
210,86.22,0
211,86.0,0
212,85.55,0
213,85.28,0
214,85.12,0
215,84.88,0
216,84.5,0
217,84.06,0
218,83.75,0
219,83.46,0
220,83.04,0
221,82.68,0
222,82.49,0
223,82.03,0
224,81.67,0
225,81.32,0
226,80.82,0
227,80.55,0
228,80.18,0
229,79.79,0
230,79.47,0
231,79.15,0
232,78.91,0
233,78.72,0
234,78.3,0
235,77.92,0
236,77.72,0
237,77.31,0
238,76.83,0
239,76.34,0
240,76.14,0
241,75.99,0
242,75.68,0
243,75.3,0
244,75.05,0
245,74.68,0
246,74.31,0
247,73.9,0
248,73.68,0
249,73.18,0
250,72.75,0
251,72.27,0
252,71.84,0
253,71.42,0
254,71.12,0
255,70.84,0
256,70.7,0
257,70.21,0
258,69.88,0
259,69.56,0
260,69.11,0
